video_id,group,is_viral_proxy,acct_uploader_len,acct_uploader_digits_ratio,acct_creator_verified,acct_creator_follower_log,acct_creator_posts_log,txt_title_len_chars,txt_title_len_words,txt_title_has_question,txt_title_has_exclaim,txt_title_has_hashtag,txt_title_has_mention,txt_title_has_url,len_duration_s,len_bucket
7556493693121744142,normal,0,0,0.0,0,,,62,10,0,0,1,1,0,15,short
7556592560974646541,normal,0,0,0.0,0,,,72,12,0,0,0,0,0,15,short
7556652844523310367,normal,0,0,0.0,0,,,72,14,0,0,0,1,0,67,very_long
7556665618670406925,normal,0,0,0.0,0,,,23,3,1,0,0,0,0,18,mid
7556690079058529567,normal,0,0,0.0,0,,,14,2,0,0,0,1,0,14,short
7556996890223463735,top,1,0,0.0,0,,,72,14,0,0,0,1,0,35,long
7557068031394991415,normal,0,0,0.0,0,,,20,4,1,0,0,0,0,16,mid
7557131004574436622,normal,0,0,0.0,0,,,46,6,1,0,1,0,0,37,long
7557534743001074974,normal,0,0,0.0,0,,,36,7,0,0,0,0,0,9,short
7557540715673373966,normal,0,0,0.0,0,,,33,3,0,0,1,0,0,6,very_short
7558207954617453832,normal,0,0,0.0,0,,,72,14,0,0,0,0,0,20,mid
7558248534412152077,normal,0,0,0.0,0,,,44,8,1,0,0,1,0,17,mid
7558253309941927223,normal,0,0,0.0,0,,,47,9,0,0,1,0,0,10,short
7558622926065519885,top,1,0,0.0,0,,,53,5,0,0,1,1,0,53,long
7558690687093460279,normal,0,0,0.0,0,,,36,5,0,0,1,0,0,11,short
7558847527311740174,normal,0,0,0.0,0,,,38,8,0,0,0,0,0,28,mid
7558891371189325087,normal,0,0,0.0,0,,,72,10,0,0,0,1,0,90,very_long
7558916935388335374,normal,0,0,0.0,0,,,44,7,0,0,0,0,0,40,long
7559227794656398605,normal,0,0,0.0,0,,,72,11,0,0,0,0,0,21,mid
7559378658817854775,top,1,0,0.0,0,,,72,11,0,1,0,1,0,275,very_long
7559395696504245517,normal,0,0,0.0,0,,,11,1,0,0,1,0,0,29,mid
7559684939684400414,normal,0,0,0.0,0,,,40,5,0,0,0,0,0,36,long
7559969376590515470,normal,0,0,0.0,0,,,18,3,0,0,0,0,0,28,mid
7560098104066805006,normal,0,0,0.0,0,,,37,5,0,0,0,1,0,9,short
7560100504492150030,top,1,0,0.0,0,,,13,2,0,0,0,1,0,15,short
7560113050100043026,top,1,0,0.0,0,,,25,4,0,0,0,0,0,54,long
7560114759442484487,normal,0,0,0.0,0,,,24,4,0,0,0,0,0,12,short
7560117671044451598,normal,0,0,0.0,0,,,46,9,0,0,0,1,0,10,short
7560178872621288718,top,1,0,0.0,0,,,33,3,0,0,1,0,0,27,mid
7561038181563419959,top,1,0,0.0,0,,,21,5,0,0,0,0,0,17,mid
7561159008074124558,top,1,0,0.0,0,,,39,8,0,0,0,1,0,187,very_long
7561200888036003103,normal,0,0,0.0,0,,,67,10,0,0,1,0,0,12,short
7561213627798277384,normal,0,0,0.0,0,,,14,2,0,0,0,0,0,11,short
7561418302761766166,top,1,0,0.0,0,,,47,7,0,0,1,0,0,18,mid
7561456867231206711,normal,0,0,0.0,0,,,17,2,0,0,1,1,0,11,short
7561459495809846542,top,1,0,0.0,0,,,49,5,0,0,0,1,0,8,short
7561859064007773453,normal,0,0,0.0,0,,,66,7,0,0,1,0,0,91,very_long
7562270156576148750,top,1,0,0.0,0,,,37,6,0,1,0,1,0,14,short
7562334301166013718,normal,0,0,0.0,0,,,72,11,0,0,0,0,0,29,mid
7562335351113649430,normal,0,0,0.0,0,,,57,9,0,0,1,0,0,44,long
7562727779981135159,top,1,0,0.0,0,,,23,4,0,0,0,0,0,64,very_long
7562737445322706184,top,1,0,0.0,0,,,5,1,0,0,0,1,0,11,short
7563467582280420616,normal,0,0,0.0,0,,,2,1,1,0,0,0,0,7,short
7563719605663862029,normal,0,0,0.0,0,,,18,3,0,0,0,1,0,10,short
7564088602234309918,normal,0,0,0.0,0,,,63,14,0,0,0,1,0,23,mid
7564143939821784350,normal,0,0,0.0,0,,,72,18,0,0,0,0,0,61,very_long
7564156976251325703,normal,0,0,0.0,0,,,41,7,0,0,0,0,0,34,long
7564181866035678519,normal,0,0,0.0,0,,,7,2,0,0,0,0,0,7,short
7564186910306913550,normal,0,0,0.0,0,,,30,6,0,0,0,1,0,13,short
