video_id,schnitt_frequenz,durchschnittliche_bewegung,anzahl_frames,video_dauer_sek,ist_person_prominent,ist_tier_sichtbar,avg_objekte_pro_frame,avg_gesichter_pro_frame,dominante_emotion,ist_text_eingeblendet,text_sentiment_compound,video_kategorie
normal_48_likes_62200_id_7418187878360026399,0.3684210526315789,11.737617,57,57.0,0,0,2.0,1.2,sad,1,0.0,Fashion
top_37_likes_979100_id_7561038181563419959,0.6111111111111112,1.092372,18,18.0,1,1,2.0,1.0,sad,1,0.9571,Vlog
normal_41_likes_43400_id_7553422683011091743,0.238095238095238,9.921446,21,21.0,1,0,5.8,2.6,sad,1,0.3869,Vlog
top_27_likes_1300000_id_7481081623962733867,0.0,6.0923877,10,10.0,1,0,1.0,1.0,neutral,1,0.0,Vlog
normal_20_likes_55500_id_7528464534936358199,0.0714285714285714,3.7901723,28,28.0,1,0,2.0,1.6,happy,1,0.0,Vlog
top_92_likes_373200_id_7550956666187975991,0.0,3.9674857,19,19.0,1,0,2.0,2.8,angry,1,0.0,Vlog
normal_100_likes_22500_id_7516938565066951991,0.024390243902439,1.1418709,41,41.0,1,0,1.4,1.2,fear,1,0.0,Vlog
normal_80_likes_32200_id_7397877687269772574,0.5483870967741935,6.935348,31,31.0,1,0,4.0,4.2,neutral,1,0.5766,Vlog
normal_60_likes_50100_id_7561200888036003103,0.0769230769230769,3.2008336,13,13.0,1,0,1.6,1.0,sad,0,0.0,Vlog
top_63_likes_579800_id_7538431890357865750,0.1702127659574468,4.348378,47,47.0,1,0,0.8,1.0,sad,0,0.0,DIY
top_35_likes_989400_id_7556996890223463735,0.2777777777777778,6.030388,36,36.0,1,0,2.6,1.2,fear,1,-0.2023,Vlog
normal_91_likes_43400_id_7506899936903007531,0.1206896551724138,3.288603,58,58.0,1,0,2.8,1.4,neutral,1,0.0343,Gaming
normal_24_likes_107000_id_7553295954502225166,0.6923076923076923,5.502806,13,13.0,0,0,1.2,1.2,sad,0,0.0,Comedy
normal_37_likes_75000_id_7564143939821784350,0.064516129032258,3.9836428,62,62.0,1,0,1.2,1.0,sad,0,0.0,Vlog
top_81_likes_439100_id_7530978492717190455,0.0,1.60505,78,78.0,0,0,3.6,1.2,sad,1,0.0,Gaming
normal_94_likes_113300_id_7560098104066805006,0.0,6.472759,10,10.0,1,0,1.4,1.0,happy,1,0.0,Vlog
normal_29_likes_24600_id_7551785289518288183,0.0,8.213221,27,27.0,1,0,9.0,15.4,happy,1,0.0,Vlog
top_10_likes_2000000_id_7219026508239686954,0.0,0.8855951,9,9.0,1,0,1.0,1.0,neutral,1,0.0,Vlog
top_50_likes_737800_id_7553438363085245703,0.0,4.494055,8,8.0,1,0,1.6,1.8,fear,1,0.0,Vlog
normal_42_likes_71700_id_7556690079058529567,0.0,5.3538537,15,15.0,1,0,2.2,2.0,sad,1,0.0,Fashion
top_100_likes_339500_id_7498461301472070954,0.0,4.490425,16,16.0,1,0,5.0,2.0,neutral,1,0.296,Vlog
normal_7_likes_44200_id_7546373233260449038,0.0909090909090909,5.6237736,33,33.0,1,0,7.8,3.4,sad,0,0.0,Comedy
normal_63_likes_105400_id_7513261762968341806,0.0,7.1181498,33,33.0,1,0,12.0,1.0,sad,1,0.0,Vlog
