group,is_viral_proxy,txt_title_has_mention,txt_title_has_question,txt_title_has_hashtag,bpm,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,speech_ratio,chroma_var_0,chroma_var_1,chroma_var_2,chroma_var_3,chroma_var_4,chroma_var_5,chroma_var_6,chroma_var_7,chroma_var_8,chroma_var_9,chroma_var_10,chroma_var_11,schnitt_frequenz,durchschnittliche_bewegung,anzahl_frames,video_dauer_sek,ist_person_prominent,ist_tier_sichtbar,avg_objekte_pro_frame,avg_gesichter_pro_frame,dominante_emotion,ist_text_eingeblendet,text_sentiment_compound,video_kategorie,is_viral
top,1,0,0,0,126.04801829268293,0.0840758234262466,0.0407275818288326,1863.9357457354731,713.5460934029988,2288.429148224446,840.7127155249331,0.9443141852286048,0.0938408603817273,0.0446327600810185,0.0984950888133597,0.047701037015282,0.1190775942569809,0.0472680717280862,0.0316383383725907,0.1717098644737838,0.0525461910510111,0.1400753842684138,0.0572225381174792,0.0949888494488465,0.0,5.315803,52,52.0,1,0,2.8,2.8,neutral,1,0.0,Unboxing,1
top,1,0,0,0,198.76802884615384,0.0860206484794616,0.0796860828995704,2145.3973329773803,2224.4587435266003,2529.215817274427,1314.4922404216536,0.6958762886597938,0.0924822410659709,0.1063801477768003,0.1189283407165879,0.1086518337875236,0.1197677963807552,0.119483684171436,0.1204960086386229,0.1367468926407755,0.1007049677821506,0.0924807177498563,0.0838262589542438,0.0862305627815743,0.0,5.7888937,6,6.0,1,1,2.0,1.4,happy,1,0.0,Beauty,1
top,1,0,0,0,114.84375,0.0353824831545352,0.0102607617154717,1851.6219524122555,972.315486354794,2118.977798198665,927.7156011285948,0.5508982035928144,0.0924852339123374,0.0563983113919676,0.0782069457940149,0.036202423250948,0.1524621710622248,0.0383509520218463,0.0125687124454033,0.0706067026259729,0.1184961022263829,0.047665000187491,0.0206340007084994,0.0474981102942637,0.0,4.490425,16,16.0,1,0,5.0,2.0,neutral,1,0.296,Unboxing,1
top,1,0,0,1,132.51201923076923,0.2711573243141174,0.1761942058801651,2652.0834947171375,1866.706050481828,2932.638874150672,676.4682159612432,0.981294964028777,0.1166238527997016,0.1089166270646066,0.0986618349306615,0.0961220580054612,0.0961303894906078,0.0997053423275124,0.0868721214724847,0.0986759205884402,0.1040495650453563,0.1136246711712174,0.1048940219599971,0.1037932271648965,0.3015873015873015,6.8278832,63,63.0,1,0,1.4,1.2,neutral,1,0.0,Fashion,1
top,1,0,0,1,129.19921875,0.1049944758415222,0.048585295677185,1637.8560688693212,894.1740448078892,2510.786386612134,982.5632870005918,0.9960369881109644,0.0299047616786528,0.0357888363110736,0.0414751109964669,0.0300646269917506,0.0580984231320391,0.0732966707500746,0.0637177415466339,0.0710882740911378,0.0632877743727027,0.0644865435615614,0.0446769074214542,0.0297166056823527,0.4583333333333333,5.5992584,24,24.0,1,0,1.6,1.0,neutral,1,0.0,Gaming,1
top,1,0,0,1,97.50884433962264,0.0627252757549285,0.0623243786394596,3284.7137947231777,1281.6477448456476,3414.0949051378097,1186.4440616837276,0.7295597484276729,0.0910100932680413,0.0959917233683352,0.0809638366147227,0.1020680013661181,0.0953907443280564,0.081752679911989,0.0843448009014228,0.0890246199373335,0.1106968043073311,0.0996988077543087,0.0964826992960046,0.1043279292618711,0.0,6.068929,34,34.0,1,1,3.0,1.0,neutral,1,0.0,Prank,1
top,1,0,0,1,156.60511363636363,0.0476052053272724,0.0808680430054664,2217.686287734667,941.7581739880007,3221.3980215429847,704.6428247592874,0.4629080118694362,0.0801295325214514,0.0540541310351477,0.0630408658728644,0.06866864284856,0.0800464530668044,0.0764696106066998,0.0628699350492661,0.057736909320787,0.0646529507157628,0.0458516881408918,0.0379757212019429,0.0678716243024809,0.0,3.3785415,21,21.0,1,0,2.4,1.2,neutral,1,0.4404,Fitness,1
normal,0,0,1,1,135.99917763157896,0.0660958737134933,0.0696924552321434,2868.5791678286423,1546.441380812433,3280.4081021778343,853.7606422772142,0.9197396963123644,0.096568510402142,0.0875946918173715,0.089201225974072,0.0944371239983413,0.0955337489337812,0.0954411718999739,0.0971616283155393,0.0996659869163279,0.0908750082767081,0.0933976181128196,0.093944747351491,0.0929340514955888,0.1206896551724138,3.288603,58,58.0,1,0,2.8,1.4,neutral,1,0.0343,Gaming,0
normal,0,0,0,1,143.5546875,0.0098034897819161,0.0099194077774882,2419.714557373974,1277.7216369200953,2516.8995783825194,1067.2777590005187,0.98343949044586,0.1039055231288117,0.1014798049620819,0.1040071691995061,0.0926712702691515,0.0883238368132831,0.0885952940688708,0.1000528331028927,0.1004488763628605,0.1204812244266995,0.1051730920191843,0.1084094249950173,0.1021803257632402,0.0,2.2771485,49,49.0,1,0,4.2,2.0,neutral,1,0.0,Comedy,0
top,1,0,0,1,156.60511363636363,0.0940614938735961,0.045573279261589,1772.0050514958295,613.3030056081226,2393.116947163976,655.6980934304947,0.998589562764457,0.0986021825732441,0.0944405234283969,0.0878274870322646,0.0868393205485612,0.1062479835508348,0.0814630420027874,0.0909665953419794,0.0995427679152091,0.0898959699209556,0.0951742842253523,0.0873511058113556,0.0888856184897149,0.0,6.267982,22,22.0,1,0,4.4,1.4,neutral,1,0.0,Prank,1
